Year,last_crop,area_ha,yield_kg_ha,next_year,recommended_crop
1961,Barley,3885.0,842.0,1962,Barley
1961,Barley,3885.0,842.0,1962,"Beans, dry"
1961,Barley,3885.0,842.0,1962,Maize (corn)
1961,Barley,3885.0,842.0,1962,Oats
1961,Barley,3885.0,842.0,1962,"Other fruits, n.e.c."
1961,Barley,3885.0,842.0,1962,"Other vegetables, fresh n.e.c."
1961,Barley,3885.0,842.0,1962,"Peas, dry"
1961,Barley,3885.0,842.0,1962,Potatoes
1961,Barley,3885.0,842.0,1962,Sorghum
1961,Barley,3885.0,842.0,1962,Wheat
1961,"Beans, dry",5000.0,280.0,1962,Barley
1961,"Beans, dry",5000.0,280.0,1962,"Beans, dry"
1961,"Beans, dry",5000.0,280.0,1962,Maize (corn)
1961,"Beans, dry",5000.0,280.0,1962,Oats
1961,"Beans, dry",5000.0,280.0,1962,"Other fruits, n.e.c."
1961,"Beans, dry",5000.0,280.0,1962,"Other vegetables, fresh n.e.c."
1961,"Beans, dry",5000.0,280.0,1962,"Peas, dry"
1961,"Beans, dry",5000.0,280.0,1962,Potatoes
1961,"Beans, dry",5000.0,280.0,1962,Sorghum
1961,"Beans, dry",5000.0,280.0,1962,Wheat
1961,Maize (corn),135000.0,814.8,1962,Barley
1961,Maize (corn),135000.0,814.8,1962,"Beans, dry"
1961,Maize (corn),135000.0,814.8,1962,Maize (corn)
1961,Maize (corn),135000.0,814.8,1962,Oats
1961,Maize (corn),135000.0,814.8,1962,"Other fruits, n.e.c."
1961,Maize (corn),135000.0,814.8,1962,"Other vegetables, fresh n.e.c."
1961,Maize (corn),135000.0,814.8,1962,"Peas, dry"
1961,Maize (corn),135000.0,814.8,1962,Potatoes
1961,Maize (corn),135000.0,814.8,1962,Sorghum
1961,Maize (corn),135000.0,814.8,1962,Wheat
1961,Oats,642.0,1303.7,1962,Barley
1961,Oats,642.0,1303.7,1962,"Beans, dry"
1961,Oats,642.0,1303.7,1962,Maize (corn)
1961,Oats,642.0,1303.7,1962,Oats
1961,Oats,642.0,1303.7,1962,"Other fruits, n.e.c."
1961,Oats,642.0,1303.7,1962,"Other vegetables, fresh n.e.c."
1961,Oats,642.0,1303.7,1962,"Peas, dry"
1961,Oats,642.0,1303.7,1962,Potatoes
1961,Oats,642.0,1303.7,1962,Sorghum
1961,Oats,642.0,1303.7,1962,Wheat
1961,"Other fruits, n.e.c.",2700.0,4444.4,1962,Barley
1961,"Other fruits, n.e.c.",2700.0,4444.4,1962,"Beans, dry"
1961,"Other fruits, n.e.c.",2700.0,4444.4,1962,Maize (corn)
