b5,b6,b7,b11,b12,ndvi,ndwi,lst,humidity,irradiance,crop_type,label
1458.2919684290623,1644.6878363587625,1576.5846625276663,1677.7569890898278,1942.1291533956653,0.7883717364576455,0.32652628070325235,296.0851200871719,55.365823071875376,190.68540492859486,wheat,0
1244.757395073827,1446.5826847221076,1498.7168879665576,1729.853496596551,1718.277833203091,0.6793848149332354,0.4232824384460777,294.54844739902694,60.67528204687924,171.50503627573087,sweet_potato,0
1296.4105780319928,1535.691311742839,1539.9361310081194,1672.2890937696386,1745.8464048993542,0.8426139092254469,0.3493251387631033,292.8845781420882,68.22544912103189,175.58312700057957,maize,0
1280.4632555991413,1518.7018174075668,1673.846657999541,1716.2799867130473,1789.5916545850584,0.7349448152205356,0.2760739004816286,293.5603115832106,55.393612290402125,221.1424445243783,sweet_potato,0
1429.1675572455315,1463.4171833604498,1532.3077999694042,1758.1092474398824,1892.7899570246357,0.7965640059558099,0.30803912383886806,294.38157524829757,63.31263431403564,219.51090254244718,sweet_potato,0
1300.4298523394575,1386.3603707123364,1681.2525822394198,1828.8428027142281,1793.5190890577699,0.8001766448946012,0.36808180125238166,293.70976049078973,63.61395605508414,230.76073132931938,maize,0
938.0254895910256,1390.4092754812746,1360.4456481885804,1964.119117944096,2110.0936854189054,0.2909944868319286,0.1390164056081244,301.0713377145352,92.73472853689819,167.0432445431588,potato,1
1327.235575739613,1452.333080859469,1691.5402117702074,1731.23135541767,1752.3215816609666,0.7756633716556678,0.354853877467402,296.93728998106576,52.979469061226474,193.44675706804463,maize,0
1426.650824935812,1524.8002508570894,1600.5113456642462,1677.714222329361,1672.6166332154628,0.7289677338617321,0.3328642741736615,293.3954454615568,58.387142883339905,208.08101713629077,potato,0
1423.1795351650487,1492.927638002214,1408.1228784700959,1697.4811818323244,1805.4207188946923,0.8731621056242643,0.3403819517609439,295.6030946846672,59.65288230294757,176.62643924760937,sorghum,0
